annee,theme,id_caracteristiques,nom_caracteristique,chiffre_total,chiffre_hommes,chiffre_femmes,taux_total,taux_hommes,taux_femmes
2021,Revenu des particuliers en 2020,126,Total - Statistiques du revenu en 2020 pour la population âgée de 15 ans et plus dans les ménages privés - Données-échantillon (25 %),24170,11800,12370,100.0,100.0,100.0
2021,Revenu des particuliers en 2020,127,  Nombre de bénéficiaires d'un revenu total âgés de 15 ans et plus dans les ménages privés en 2020 - Données-échantillon (25 %),23615,11515,12100,97.7,97.6,97.8
2021,Revenu des particuliers en 2020,128,    Revenu total moyen en 2020 parmi les bénéficiaires ($),60750,68100,53800,60750,68100,53800
2021,Revenu des particuliers en 2020,129,  Nombre de bénéficiaires d'un revenu après impôt âgés de 15 ans et plus dans les ménages privés en 2020 - Données-échantillon (25 %),23645,11525,12120,97.8,97.7,98.0
2021,Revenu des particuliers en 2020,130,    Revenu après impôt moyen en 2020 parmi les bénéficiaires ($),48960,53650,44480,48960,53650,44480
2021,Revenu des particuliers en 2020,131,  Nombre de bénéficiaires d'un revenu du marché âgés de 15 ans et plus dans les ménages privés en 2020 - Données-échantillon (25 %),22285,11005,11275,92.2,93.3,91.1
2021,Revenu des particuliers en 2020,132,    Revenu du marché moyen en 2020 parmi les bénéficiaires ($),55050,63700,46600,55050,63700,46600
2021,Revenu des particuliers en 2020,133,  Nombre de bénéficiaires d'un revenu d'emploi âgés de 15 ans et plus dans les ménages privés en 2020 - Données-échantillon (25 %),19120,9580,9545,79.1,81.2,77.2
2021,Revenu des particuliers en 2020,134,    Revenu d'emploi moyen en 2020 parmi les bénéficiaires ($),55850,62400,49280,55850,62400,49280
2021,Revenu des particuliers en 2020,135,  Nombre de bénéficiaires de transferts gouvernementaux âgés de 15 ans et plus dans les ménages privés en 2020 - Données-échantillon (25 %),17960,7780,10180,74.3,65.9,82.3
2021,Revenu des particuliers en 2020,136,    Transferts gouvernementaux moyens en 2020 parmi les bénéficiaires ($),11610,10680,12330,11610,10680,12330
2021,Revenu des particuliers en 2020,137,  Nombre de bénéficiaires de prestations de l'assurance emploi âgés de 15 ans et plus dans les ménages privés en 2020 - Données-échantillon (25 %),2815,1315,1505,11.6,11.1,12.2
2021,Revenu des particuliers en 2020,138,    Prestations de l'assurance emploi moyennes en 2020 parmi les bénéficiaires ($),7670,5900,9210,7670,5900,9210
2021,Revenu des particuliers en 2020,139,  Nombre de bénéficiaires de COVID-19 prestations d'urgence et de relance économique âgés de 15 ans et plus dans les ménages privés en 2020 - Données-échantillon (25 %),6310,3200,3110,26.1,27.1,25.1
2021,Revenu des particuliers en 2020,140,    COVID-19 prestations d'urgence et de relance économique moyennes en 2020 parmi les bénéficiaires ($),7820,7600,8050,7820,7600,8050
2021,Revenu des particuliers en 2020,141,Total - Statistiques du revenu d'emploi en 2020 pour la population âgée de 15 ans et plus dans les ménages privés - Données-échantillon (25 %),24170,11800,12375,100.0,100.0,100.0
2021,Revenu des particuliers en 2020,142,  Nombre de bénéficiaires d'un revenu d'emploi en 2020 qui ont travaillé toute l'année à plein temps en 2020 - Données-échantillon (25 %),10440,5455,4990,43.2,46.2,40.3
2021,Revenu des particuliers en 2020,143,    Revenu d'emploi médian en 2020 pour les travailleurs qui ont travaillé toute l'année à plein temps en 2020 ($),70000,77500,61200,70000,77500,61200
2021,Revenu des particuliers en 2020,144,    Revenu d'emploi moyen en 2020 pour les travailleurs qui ont travaillé toute l'année à plein temps en 2020 ($),77900,83600,71700,77900,83600,71700
2021,Revenu des particuliers en 2020,145,  Nombre de bénéficiaires d'un revenu d'emploi en 2020 qui ont travaillé une partie de l'année et/ou à temps partiel en 2020 - Données-échantillon (25 %),7155,3325,3825,29.6,28.2,30.9
2021,Revenu des particuliers en 2020,146,    Revenu d'emploi médian en 2020 pour les travailleurs qui ont travaillé une partie de l'année et/ou à temps partiel en 2020 ($),22000,29400,19200,22000,29400,19200
2021,Revenu des particuliers en 2020,147,    Revenu d'emploi moyen en 2020 pour les travailleurs qui ont travaillé une partie de l'année et/ou à temps partiel en 2020 ($),32680,39520,26720,32680,39520,26720
2021,Revenu des particuliers en 2020,148,Composition du revenu total en 2020 de la population âgée de 15 ans et plus dans les ménages privés - Données-échantillon (25 %),100.0,100.0,100.0,100.0,100.0,100.0
2021,Revenu des particuliers en 2020,149,  Revenu du marché (%),85.4,89.4,80.8,85.4,89.4,80.8
2021,Revenu des particuliers en 2020,150,    Revenu d'emploi (%),74.4,76.2,72.2,74.4,76.2,72.2
2021,Revenu des particuliers en 2020,151,  Transferts gouvernementaux (%),14.5,10.6,19.3,14.5,10.6,19.3
2021,Revenu des particuliers en 2020,152,    Prestations de l'assurance emploi (%),1.5,1.0,2.1,1.5,1.0,2.1
2021,Revenu des particuliers en 2020,153,    COVID-19 - Prestations et soutien du revenu gouvernementaux (%),4.0,3.4,4.6,4.0,3.4,4.6
2021,Revenu des particuliers en 2020,154,      COVID-19 - Prestations d'urgence et de relance économique (%),3.4,3.1,3.9,3.4,3.1,3.9
2021,Revenu des particuliers en 2020,155,Tranches de revenu total en 2020 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),24175,11800,12375,100.0,100.0,100.0
2021,Revenu des particuliers en 2020,156,  Sans revenu total,585,270,320,2.4,2.3,2.6
2021,Revenu des particuliers en 2020,157,  Ayant un revenu total,23585,11535,12055,97.6,97.8,97.4
2021,Revenu des particuliers en 2020,158,    Moins de 10 000 $ (comprend les pertes),1420,600,825,6.0,5.2,6.8
2021,Revenu des particuliers en 2020,159,    10 000 $ à 19 999 $,1960,735,1225,8.3,6.4,10.2
2021,Revenu des particuliers en 2020,160,    20 000 $ à 29 999 $,2735,1100,1635,11.6,9.5,13.6
2021,Revenu des particuliers en 2020,161,    30 000 $ à 39 999 $,2440,1015,1430,10.3,8.8,11.9
2021,Revenu des particuliers en 2020,162,    40 000 $ à 49 999 $,2775,1280,1490,11.8,11.1,12.4
2021,Revenu des particuliers en 2020,163,    50 000 $ à 59 999 $,2465,1135,1335,10.5,9.8,11.1
2021,Revenu des particuliers en 2020,164,    60 000 $ à 69 999 $,2170,1110,1060,9.2,9.6,8.8
2021,Revenu des particuliers en 2020,165,    70 000 $ à 79 999 $,1700,905,800,7.2,7.8,6.6
2021,Revenu des particuliers en 2020,166,    80 000 $ à 89 999 $,1590,880,705,6.7,7.6,5.8
2021,Revenu des particuliers en 2020,167,    90 000 $ à 99 999 $,1130,660,470,4.8,5.7,3.9
2021,Revenu des particuliers en 2020,168,    100 000 $ et plus,3200,2110,1090,13.6,18.3,9.0
2021,Revenu des particuliers en 2020,169,      100 000 $ à 149 999 $,2390,1490,900,10.1,12.9,7.5
2021,Revenu des particuliers en 2020,170,      150 000 $ et plus,810,620,190,3.4,5.4,1.6
2021,Revenu des particuliers en 2020,171,Total - Tranches de revenu après impôt en 2020 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),24175,11800,12375,100.0,100.0,100.0
2021,Revenu des particuliers en 2020,172,  Sans revenu après impôt,570,260,310,2.4,2.2,2.5
2021,Revenu des particuliers en 2020,173,  Ayant un revenu après impôt,23600,11535,12060,97.6,97.8,97.5
2021,Revenu des particuliers en 2020,174,    Moins de 10 000 $ (comprend les pertes),1530,630,900,6.5,5.5,7.5
2021,Revenu des particuliers en 2020,175,    10 000 $ à 19 999 $,2110,800,1310,8.9,6.9,10.9
2021,Revenu des particuliers en 2020,176,    20 000 $ à 29 999 $,3240,1320,1920,13.7,11.4,15.9
2021,Revenu des particuliers en 2020,177,    30 000 $ à 39 999 $,3315,1500,1810,14.0,13.0,15.0
2021,Revenu des particuliers en 2020,178,    40 000 $ à 49 999 $,3440,1645,1790,14.6,14.3,14.8
2021,Revenu des particuliers en 2020,179,    50 000 $ à 59 999 $,2995,1515,1480,12.7,13.1,12.3
2021,Revenu des particuliers en 2020,180,    60 000 $ à 69 999 $,2385,1300,1090,10.1,11.3,9.0
2021,Revenu des particuliers en 2020,181,    70 000 $ à 79 999 $,1690,940,745,7.2,8.1,6.2
2021,Revenu des particuliers en 2020,182,    80 000 $ à 89 999 $,1080,645,440,4.6,5.6,3.6
2021,Revenu des particuliers en 2020,183,    90 000 $ à 99 999 $,670,420,250,2.8,3.6,2.1
2021,Revenu des particuliers en 2020,184,    100 000 $ et plus,1150,825,325,4.9,7.2,2.7
2021,Revenu des particuliers en 2020,185,      100 000 $ à 124 999 $,670,455,215,2.8,3.9,1.8
2021,Revenu des particuliers en 2020,186,      125 000 $ et plus,475,370,105,2.0,3.2,0.9
2021,Revenu des particuliers en 2020,187,Total - Tranches de revenu d'emploi en 2020 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),24175,11800,12375,100.0,100.0,100.0
2021,Revenu des particuliers en 2020,188,  Sans revenu d'emploi,5050,2125,2930,20.9,18.0,23.7
2021,Revenu des particuliers en 2020,189,  Ayant un revenu d'emploi,19120,9675,9450,79.1,82.0,76.4
2021,Revenu des particuliers en 2020,190,    Moins de 5 000 $ (comprend les pertes),1930,965,965,10.1,10.0,10.2
2021,Revenu des particuliers en 2020,191,    5 000 $ à 9 999 $,1185,505,680,6.2,5.2,7.2
2021,Revenu des particuliers en 2020,192,    10 000 $ à 19 999 $,1885,780,1110,9.9,8.1,11.7
2021,Revenu des particuliers en 2020,193,    20 000 $ à 29 999 $,1570,620,950,8.2,6.4,10.1
2021,Revenu des particuliers en 2020,194,    30 000 $ à 39 999 $,1520,710,810,7.9,7.3,8.6
2021,Revenu des particuliers en 2020,195,    40 000 $ à 49 999 $,1795,750,1045,9.4,7.8,11.1
2021,Revenu des particuliers en 2020,196,    50 000 $ à 59 999 $,1655,765,895,8.7,7.9,9.5
2021,Revenu des particuliers en 2020,197,    60 000 $ à 69 999 $,1505,795,715,7.9,8.2,7.6
2021,Revenu des particuliers en 2020,198,    70 000 $ à 79 999 $,1290,735,550,6.7,7.6,5.8
2021,Revenu des particuliers en 2020,199,    80 000 $ à 89 999 $,1295,710,590,6.8,7.3,6.2
2021,Revenu des particuliers en 2020,200,    90 000 $ à 99 999 $,860,535,325,4.5,5.5,3.4
2021,Revenu des particuliers en 2020,201,    100 000 $ et plus,2635,1810,825,13.8,18.7,8.7
2021,Revenu des particuliers en 2020,202,      100 000 $ à 124 999 $,1375,900,480,7.2,9.3,5.1
2021,Revenu des particuliers en 2020,203,      125 000 $ et plus,1255,915,345,6.6,9.5,3.7
2021,Revenu des particuliers en 2019,204,Total - Statistiques du revenu en 2019 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),24170,11795,12375,100.0,100.0,100.0
2021,Revenu des particuliers en 2019,205,  Nombre de bénéficiaires d'un revenu total âgés de 15 ans et plus dans les ménages privés en 2019 - Données intégrales (100 %),23180,11325,11850,95.9,96.0,95.8
2021,Revenu des particuliers en 2019,206,    Revenu total médian en 2019 parmi les bénéficiaires ($),50400,59200,43600,50400,59200,43600
2021,Revenu des particuliers en 2019,207,  Nombre de bénéficiaires d'un revenu après impôt âgés de 15 ans et plus dans les ménages privés en 2019 - Données intégrales (100 %),23190,11330,11860,95.9,96.1,95.8
2021,Revenu des particuliers en 2019,208,    Revenu après impôt médian en 2019 parmi les bénéficiaires ($),43200,48800,38400,43200,48800,38400
2021,Revenu des particuliers en 2019,209,  Nombre de bénéficiaires d'un revenu du marché âgés de 15 ans et plus dans les ménages privés en 2019 - Données intégrales (100 %),21955,10910,11045,90.8,92.5,89.3
2021,Revenu des particuliers en 2019,210,    Revenu du marché médian en 2019 parmi les bénéficiaires ($),46000,56400,38000,46000,56400,38000
2021,Revenu des particuliers en 2019,211,  Nombre de bénéficiaires d'un revenu d'emploi âgés de 15 ans et plus dans les ménages privés en 2019 - Données intégrales (100 %),19110,9660,9455,79.1,81.9,76.4
2021,Revenu des particuliers en 2019,212,    Revenu d'emploi médian en 2019 parmi les bénéficiaires ($),48400,58400,41200,48400,58400,41200
2021,Revenu des particuliers en 2019,213,  Nombre de bénéficiaires de transferts gouvernementaux âgés de 15 ans et plus dans les ménages privés en 2019 - Données intégrales (100 %),16020,6695,9325,66.3,56.8,75.4
2021,Revenu des particuliers en 2019,214,    Transferts gouvernementaux médians en 2019 parmi les bénéficiaires ($),6280,4120,7850,6280,4120,7850
2021,Revenu des particuliers en 2019,215,  Nombre de bénéficiaires de prestations de l'assurance emploi âgés de 15 ans et plus dans les ménages privés en 2019 - Données intégrales (100 %),2695,1355,1340,11.2,11.5,10.8
2021,Revenu des particuliers en 2019,216,    Prestations de l'assurance emploi médianes en 2019 parmi les bénéficiaires ($),4800,3960,6400,4800,3960,6400
2021,Revenu des particuliers en 2019,217,Total - Statistiques du revenu en 2019 pour la population âgée de 15 ans et plus dans les ménages privés - Données-échantillon (25 %),24170,11800,12370,100.0,100.0,100.0
2021,Revenu des particuliers en 2019,218,  Nombre de bénéficiaires d'un revenu total âgés de 15 ans et plus dans les ménages privés en 2019 - Données-échantillon (25 %),23175,11300,11875,95.9,95.8,96.0
2021,Revenu des particuliers en 2019,219,    Revenu total moyen en 2019 parmi les bénéficiaires ($),57750,66800,49160,57750,66800,49160
2021,Revenu des particuliers en 2019,220,  Nombre de bénéficiaires d'un revenu après impôt âgés de 15 ans et plus dans les ménages privés en 2019 - Données-échantillon (25 %),23190,11300,11890,95.9,95.8,96.1
2021,Revenu des particuliers en 2019,221,    Revenu après impôt moyen en 2019 parmi les bénéficiaires ($),46400,52350,40760,46400,52350,40760
2021,Revenu des particuliers en 2019,222,  Nombre de bénéficiaires d'un revenu du marché âgés de 15 ans et plus dans les ménages privés en 2019 - Données-échantillon (25 %),21920,10875,11050,90.7,92.2,89.3
2021,Revenu des particuliers en 2019,223,    Revenu du marché moyen en 2019 parmi les bénéficiaires ($),54550,64600,44600,54550,64600,44600
2021,Revenu des particuliers en 2019,224,  Nombre de bénéficiaires d'un revenu d'emploi âgés de 15 ans et plus dans les ménages privés en 2019 - Données-échantillon (25 %),19095,9540,9555,79.0,80.8,77.2
2021,Revenu des particuliers en 2019,225,    Revenu d'emploi moyen en 2019 parmi les bénéficiaires ($),54400,62700,46120,54400,62700,46120
2021,Revenu des particuliers en 2019,226,  Nombre de bénéficiaires de transferts gouvernementaux âgés de 15 ans et plus dans les ménages privés en 2019 - Données-échantillon (25 %),15925,6570,9355,65.9,55.7,75.6
2021,Revenu des particuliers en 2019,227,    Transferts gouvernementaux moyens en 2019 parmi les bénéficiaires ($),9000,7950,9740,9000,7950,9740
2021,Revenu des particuliers en 2019,228,  Nombre de bénéficiaires de prestations de l'assurance emploi âgés de 15 ans et plus dans les ménages privés en 2019 - Données-échantillon (25 %),2710,1350,1360,11.2,11.4,11.0
