annee,theme,id_caracteristiques,nom_caracteristiques,chiffre_total,chiffre_hommes,chiffre_femmes
2016,Caractéristiques de la famille,86,    3 enfants ou plus,680,,
2016,Caractéristiques de la famille,87,Total - Familles de recensement monoparentales dans les ménages privés  - Données intégrales (100 %),1455,,
2016,Caractéristiques de la famille,88,  1 enfant,790,,
2016,Caractéristiques de la famille,89,  2 enfants,540,,
2016,Caractéristiques de la famille,90,  3 enfants ou plus,125,,
2016,Caractéristiques de la famille,91,Total - Personnes hors famille de recensement dans les ménages privés - Données intégrales (100 %),3635,1690,1940
2016,Genre de ménage,92,Total - Ménages privés selon le genre de ménage - Données intégrales (100 %),11245,,
2016,Genre de ménage,93,  Ménages comptant une seule famille de recensement,8170,,
2016,Genre de ménage,94,    Sans enfants en famille de recensement,2820,,
2016,Genre de ménage,95,    Avec enfants en famille de recensement,5350,,
2016,Genre de ménage,96,  Ménages comptant plusieurs familles de recensement,110,,
2016,Genre de ménage,97,  Ménages sans famille de recensement,2970,,
2016,Genre de ménage,98,    Ménages composés d'une personne,2735,,
2016,Genre de ménage,99,    Ménages sans famille de recensement composés de deux personnes ou plus,240,,
2016,Connaissance des langues officielles,100,Total - Connaissance des langues officielles pour la population totale à l'exclusion des résidents d'un établissement institutionnel - Données integrales (100 %),28985,14085,14895
2016,Connaissance des langues officielles,101,  Anglais seulement,240,105,135
2016,Connaissance des langues officielles,102,  Français seulement,13630,6030,7600
2016,Connaissance des langues officielles,103,  Anglais et français,15065,7925,7140
2016,Connaissance des langues officielles,104,  Ni anglais ni français,50,25,20
2016,Première langue officielle parlée,105,Total - Première langue officielle parlée pour la population totale à l'exclusion des résidents d'un établissement institutionnel - Données integrales (100 %),28985,14090,14895
2016,Première langue officielle parlée,106,  Anglais,1430,700,730
2016,Première langue officielle parlée,107,  Français,27170,13190,13980
2016,Première langue officielle parlée,108,  Anglais et français,330,170,165
2016,Première langue officielle parlée,109,  Ni anglais ni français,45,25,20
2016,Première langue officielle parlée,110,Minorité de langue officielle (nombre),1600,785,810
2016,Première langue officielle parlée,111,Minorité de langue officielle (pourcentage),5.5,5.6,5.4
2016,Langue maternelle,112,Total - Langue maternelle pour la population totale à l'exclusion des résidents d'un établissement institutionnel - Données intégrales (100 %),28980,14090,14895
2016,Langue maternelle,113,  Réponses uniques,28560,13875,14685
2016,Langue maternelle,114,    Langues officielles,27445,13330,14115
2016,Langue maternelle,115,      Anglais,1215,595,620
2016,Langue maternelle,116,      Français,26235,12735,13500
2016,Langue maternelle,117,    Langues non officielles,1115,545,565
2016,Langue maternelle,118,      Langues autochtones,0,0,0
2016,Langue maternelle,119,        Langues algonquiennes,0,0,0
2016,Langue maternelle,120,          Pied-noir,0,0,0
2016,Langue maternelle,121,          Langues cries-montagnaises,0,0,0
2016,Langue maternelle,122,            Atikamekw,0,0,0
2016,Langue maternelle,123,            Montagnais (innu),0,0,0
2016,Langue maternelle,124,            Cri de Moose,0,0,0
2016,Langue maternelle,125,            Naskapi,0,0,0
2016,Langue maternelle,126,            Cri du Nord-Est,0,0,0
2016,Langue maternelle,127,            Cri des plaines,0,0,0
2016,Langue maternelle,128,            Cri du Sud-Est,0,0,0
2016,Langue maternelle,129,            Moskégon (cri des marais),0,0,0
2016,Langue maternelle,130,            Cri des bois,0,0,0
2016,Langue maternelle,131,            Cri; n.d.a.,0,0,0
2016,Langue maternelle,132,          Langues algonquiennes de l'Est,0,0,0
2016,Langue maternelle,133,            Malécite,0,0,0
2016,Langue maternelle,134,            Mi'kmaq,0,0,0
2016,Langue maternelle,135,          Langues ojibwées-potawatomies,0,0,0
2016,Langue maternelle,136,            Algonquin,0,0,0
2016,Langue maternelle,137,            Ojibwé,0,0,0
2016,Langue maternelle,138,            Oji-cri,0,0,0
2016,Langue maternelle,139,            Ottawa (odawa),0,0,0
2016,Langue maternelle,140,          Langues algonquiennes; n.i.a.,0,0,0
2016,Langue maternelle,141,        Langues athabascanes,0,0,0
2016,Langue maternelle,142,          Langues athabascanes du Nord,0,0,0
2016,Langue maternelle,143,            Babine (wetsuwet'en),0,0,0
2016,Langue maternelle,144,            Castor,0,0,0
2016,Langue maternelle,145,            Porteur,0,0,0
2016,Langue maternelle,146,            Chilcotin,0,0,0
2016,Langue maternelle,147,            Déné,0,0,0
2016,Langue maternelle,148,            Flanc-de-chien (tlicho),0,0,0
2016,Langue maternelle,149,            Gwich'in,0,0,0
2016,Langue maternelle,150,            Sarsi,0,0,0
2016,Langue maternelle,151,            Sekani,0,0,0
2016,Langue maternelle,152,            Langues esclaves-lièvre,0,0,0
2016,Langue maternelle,153,              Esclave du Nord (lièvre),0,0,0
2016,Langue maternelle,154,              Esclave du Sud,0,0,0
2016,Langue maternelle,155,              Esclave; n.d.a.,0,0,0
2016,Langue maternelle,156,            Langues tahltanes,0,0,0
2016,Langue maternelle,157,              Kaska (nahani),0,0,0
2016,Langue maternelle,158,              Tahltan,0,0,0
2016,Langue maternelle,159,            Langues tutchones,0,0,0
2016,Langue maternelle,160,              Tutchone du Nord,0,0,0
2016,Langue maternelle,161,              Tutchone du Sud,0,0,0
2016,Langue maternelle,162,          Langues athabascanes; n.i.a.,0,0,0
2016,Langue maternelle,163,        Haïda,0,0,0
2016,Langue maternelle,164,        Langues inuites,0,0,0
2016,Langue maternelle,165,          Inuinnaqtun (Inuvialuktun),0,0,0
2016,Langue maternelle,166,          Inuktitut,0,0,0
2016,Langue maternelle,167,          Langues inuites; n.i.a.,0,0,0
2016,Langue maternelle,168,        Langues iroquoiennes,0,0,0
2016,Langue maternelle,169,          Cayuga,0,0,0
2016,Langue maternelle,170,          Mohawk,0,0,0
2016,Langue maternelle,171,          Oneida,0,0,0
2016,Langue maternelle,172,          Langues iroquoiennes; n.i.a.,0,0,0
2016,Langue maternelle,173,        Kutenai,0,0,0
2016,Langue maternelle,174,        Mitchif,0,0,0
2016,Langue maternelle,175,        Langues salishennes,0,0,0
2016,Langue maternelle,176,          Comox,0,0,0
2016,Langue maternelle,177,          Halkomelem,0,0,0
2016,Langue maternelle,178,          Lillooet,0,0,0
2016,Langue maternelle,179,          Okanagan,0,0,0
2016,Langue maternelle,180,          Shuswap (secwepemctsin),0,0,0
2016,Langue maternelle,181,          Squamish,0,0,0
2016,Langue maternelle,182,          Straits,0,0,0
2016,Langue maternelle,183,          Thompson (ntlakapamux),0,0,0
2016,Langue maternelle,184,          Langues salishennes; n.i.a.,0,0,0
2016,Langue maternelle,185,        Langues siouennes,0,0,0
2016,Langue maternelle,186,          Dakota,0,0,0
2016,Langue maternelle,187,          Stoney,0,0,0
2016,Langue maternelle,188,          Langues siouennes; n.i.a.,0,0,0
2016,Langue maternelle,189,        Tlingit,0,0,0
2016,Langue maternelle,190,        Langues tsimshennes,0,0,0
2016,Langue maternelle,191,          Gitxan (gitksan),0,0,0
2016,Langue maternelle,192,          Nisga'a,0,0,0
2016,Langue maternelle,193,          Tsimshian,0,0,0
2016,Langue maternelle,194,        Langues wakashanes,0,0,0
2016,Langue maternelle,195,          Haisla,0,0,0
2016,Langue maternelle,196,          Heiltsuk,0,0,0
2016,Langue maternelle,197,          Kwakiutl (kwak'wala),0,0,0
2016,Langue maternelle,198,          Nuu-chah-nulth (nootka),0,0,0
2016,Langue maternelle,199,          Langues wakashanes; n.i.a.,0,0,0
2016,Langue maternelle,200,        Langues autochtones; n.d.a.,0,0,0
2016,Langue maternelle,201,      Langues non autochtones,1110,545,565
2016,Langue maternelle,202,        Langues afro-asiatiques,190,100,95
2016,Langue maternelle,203,          Langues berbères,15,10,5
2016,Langue maternelle,204,            Kabyle,15,10,5
2016,Langue maternelle,205,            Langues berbères; n.i.a.,0,0,0
2016,Langue maternelle,206,          Langues couchitiques,5,0,0
2016,Langue maternelle,207,            Bilen,0,0,0
2016,Langue maternelle,208,            Oromo,0,0,0
2016,Langue maternelle,209,            Somali,5,5,0
2016,Langue maternelle,210,            Langues couchitiques; n.i.a.,0,0,0
2016,Langue maternelle,211,          Langues sémitiques,170,85,85
2016,Langue maternelle,212,            Amharique,0,0,0
2016,Langue maternelle,213,            Arabe,170,85,85
2016,Langue maternelle,214,            Assyrien néo-araméen,0,0,0
2016,Langue maternelle,215,            Chaldéen néo-araméen,0,0,0
2016,Langue maternelle,216,            Harari,0,0,0
2016,Langue maternelle,217,            Hébreu,0,0,0
2016,Langue maternelle,218,            Maltais,0,0,0
2016,Langue maternelle,219,            Tigregna,0,0,0
2016,Langue maternelle,220,            Langues sémitiques; n.i.a.,0,0,0
2016,Langue maternelle,221,          Langues afro-asiatiques; n.i.a.,0,0,0
2016,Langue maternelle,222,        Langues austro-asiatiques,35,25,15
2016,Langue maternelle,223,          Khmer (cambodgien),10,5,0
2016,Langue maternelle,224,          Vietnamien,30,15,15
2016,Langue maternelle,225,          Langues austro-asiatiques; n.i.a.,0,0,0
2016,Langue maternelle,226,        Langues austronésiennes,10,0,5
2016,Langue maternelle,227,          Bicol,0,0,0
2016,Langue maternelle,228,          Cebuano,0,0,0
2016,Langue maternelle,229,          Fidjien,0,0,0
2016,Langue maternelle,230,          Hiligaïnon,0,0,0
2016,Langue maternelle,231,          Ilocano,0,0,0
2016,Langue maternelle,232,          Malgache,0,0,0
2016,Langue maternelle,233,          Malais,0,0,5
2016,Langue maternelle,234,          Pampangan (kapampangan; pampango),0,0,0
2016,Langue maternelle,235,          Pangasinan,0,0,0
2016,Langue maternelle,236,          Tagalog (pilipino),0,0,5
2016,Langue maternelle,237,          Waray-waray,0,0,0
2016,Langue maternelle,238,          Langues austronésiennes; n.i.a.,0,0,0
2016,Langue maternelle,239,        Langues créoles,50,15,30
2016,Langue maternelle,240,          Créole haïtien,0,0,0
2016,Langue maternelle,241,          Créole; n.d.a.,50,15,30
2016,Langue maternelle,242,          Langues créoles; n.i.a.,0,0,0
2016,Langue maternelle,243,        Langues dravidiennes,5,0,5
2016,Langue maternelle,244,          Kannada,0,0,0
2016,Langue maternelle,245,          Malayalam,0,0,0
2016,Langue maternelle,246,          Tamoul,5,5,5
2016,Langue maternelle,247,          Telougou,0,0,0
2016,Langue maternelle,248,          Langues dravidiennes; n.i.a.,0,0,0
2016,Langue maternelle,249,        Langues hmong-mien,0,0,0
2016,Langue maternelle,250,        Langues indo-européennes,700,340,360
2016,Langue maternelle,251,          Albanais,0,0,0
2016,Langue maternelle,252,          Arménien,0,0,0
2016,Langue maternelle,253,          Langues balto-slaves,80,30,50
2016,Langue maternelle,254,            Langues baltes,0,0,0
2016,Langue maternelle,255,              Letton,0,0,0
2016,Langue maternelle,256,              Lituanien,0,0,0
2016,Langue maternelle,257,            Langues slaves,80,30,45
2016,Langue maternelle,258,              Biélorusse,0,0,0
2016,Langue maternelle,259,              Bosniaque,0,0,0
2016,Langue maternelle,260,              Bulgare,5,0,5
2016,Langue maternelle,261,              Croate,0,0,0
2016,Langue maternelle,262,              Tchèque,5,0,5
2016,Langue maternelle,263,              Macédonien,10,5,0
2016,Langue maternelle,264,              Polonais,20,10,15
2016,Langue maternelle,265,              Russe,25,10,15
2016,Langue maternelle,266,              Serbe,0,0,0
2016,Langue maternelle,267,              Serbo-croate,5,0,0
2016,Langue maternelle,268,              Slovaque,5,0,0
2016,Langue maternelle,269,              Slovène,5,0,0
2016,Langue maternelle,270,              Ukrainien,5,0,0
2016,Langue maternelle,271,              Langues slaves; n.i.a.,0,0,0
2016,Langue maternelle,272,          Langues celtiques,0,0,0
2016,Langue maternelle,273,            Gaélique écossais,0,0,0
2016,Langue maternelle,274,            Gallois,0,0,0
2016,Langue maternelle,275,            Langues celtiques; n.i.a.,0,0,0
2016,Langue maternelle,276,          Langues germaniques,60,30,25
2016,Langue maternelle,277,            Afrikaans,0,0,0
2016,Langue maternelle,278,            Danois,0,0,0
2016,Langue maternelle,279,            Néerlandais,15,5,5
2016,Langue maternelle,280,            Frison,0,0,0
2016,Langue maternelle,281,            Allemand,40,25,20
2016,Langue maternelle,282,            Islandais,0,0,0
2016,Langue maternelle,283,            Norvégien,0,0,0
2016,Langue maternelle,284,            Suédois,0,5,0
2016,Langue maternelle,285,            Vlaams (flamand),0,5,0
2016,Langue maternelle,286,            Yiddish,0,0,0
2016,Langue maternelle,287,            Langues germaniques; n.i.a.,0,0,0
2016,Langue maternelle,288,          Grec,20,10,10
2016,Langue maternelle,289,          Langues indo-iraniennes,95,55,35
2016,Langue maternelle,290,            Langues indo-aryennes,10,10,0
2016,Langue maternelle,291,              Bengali,0,0,0
2016,Langue maternelle,292,              Gujarati,5,0,0
2016,Langue maternelle,293,              Hindi,0,0,0
2016,Langue maternelle,294,              Cachemiri,0,0,0
2016,Langue maternelle,295,              Konkani,0,0,0
2016,Langue maternelle,296,              Marathi,0,0,0
2016,Langue maternelle,297,              Népalais,0,0,0
2016,Langue maternelle,298,              Oriya (odia),0,0,0
2016,Langue maternelle,299,              Pendjabi,0,0,0
2016,Langue maternelle,300,              Sindhi,5,0,0
2016,Langue maternelle,301,              Singhalais,0,0,0
2016,Langue maternelle,302,              Ourdou,5,5,0
2016,Langue maternelle,303,            Langues iraniennes,85,50,35
2016,Langue maternelle,304,              Kurde,0,0,0
2016,Langue maternelle,305,              Pachto,0,0,0
2016,Langue maternelle,306,              Persan (farsi),80,50,30
2016,Langue maternelle,307,            Langues indo-iraniennes; n.i.a.,0,0,0
2016,Langue maternelle,308,          Langues italiques (romanes),445,205,240
2016,Langue maternelle,309,            Catalan,0,0,0
2016,Langue maternelle,310,            Italien,70,30,40
2016,Langue maternelle,311,            Portugais,75,35,40
2016,Langue maternelle,312,            Roumain,75,30,40
2016,Langue maternelle,313,            Espagnol,230,110,120
2016,Langue maternelle,314,            Langues italiques (romanes); n.i.a.,0,0,0
2016,Langue maternelle,315,        Japonais,5,0,5
2016,Langue maternelle,316,        Langues kartvéliennes,0,0,0
2016,Langue maternelle,317,          Géorgien,0,0,0
2016,Langue maternelle,318,        Coréen,0,0,0
2016,Langue maternelle,319,        Langues mongoles,0,0,0
2016,Langue maternelle,320,          Mongol,0,0,0
2016,Langue maternelle,321,        Langues nigéro-congolaises,40,20,15
2016,Langue maternelle,322,          Akan (twi),0,0,0
2016,Langue maternelle,323,          Bamanankan,5,5,0
2016,Langue maternelle,324,          Edo,0,0,0
2016,Langue maternelle,325,          Éwé,0,0,0
2016,Langue maternelle,326,          Fulah (peul; pular; pulaar; fulfulde),5,0,0
2016,Langue maternelle,327,          Ga,0,0,0
2016,Langue maternelle,328,          Ganda,0,0,0
2016,Langue maternelle,329,          Igbo,0,0,0
2016,Langue maternelle,330,          Lingala,0,0,5
2016,Langue maternelle,331,          Rundi (kiroundi),5,0,0
2016,Langue maternelle,332,          Kinyarwanda (rwanda),0,0,0
2016,Langue maternelle,333,          Shona,0,0,0
2016,Langue maternelle,334,          Swahili,0,0,0
2016,Langue maternelle,335,          Wolof,10,5,10
2016,Langue maternelle,336,          Yoruba,0,0,0
2016,Langue maternelle,337,          Langues nigéro-congolaises; n.i.a.,10,10,0
2016,Langue maternelle,338,        Langues nilo-sahariennes,0,0,0
2016,Langue maternelle,339,          Dinka,0,0,0
2016,Langue maternelle,340,          Langues nilo-sahariennes; n.i.a.,0,0,0
2016,Langue maternelle,341,        Langues des signes,0,0,0
2016,Langue maternelle,342,          Langue des signes américaine,0,0,0
2016,Langue maternelle,343,          Langue des signes québécoise,0,5,0
2016,Langue maternelle,344,          Langues des signes; n.i.a.,0,0,0
2016,Langue maternelle,345,        Langues sino-tibétaines,50,25,30
2016,Langue maternelle,346,          Langues chinoises,50,25,25
2016,Langue maternelle,347,            Cantonais,25,15,10
2016,Langue maternelle,348,            Hakka,0,0,0
2016,Langue maternelle,349,            Mandarin,25,10,15
2016,Langue maternelle,350,            Min dong,0,0,0
2016,Langue maternelle,351,            Min nan (chaochow; teochow; fou-kien; taïwanais),0,0,0
2016,Langue maternelle,352,            Wu (shanghaïen),0,0,0
2016,Langue maternelle,353,            Chinois; n.d.a.,5,0,5
2016,Langue maternelle,354,            Langues chinoises; n.i.a.,0,0,0
2016,Langue maternelle,355,          Langues tibéto-birmanes,0,0,0
2016,Langue maternelle,356,            Birman,0,0,0
2016,Langue maternelle,357,            Langues karéniques,0,0,0
2016,Langue maternelle,358,            Tibétain,0,0,0
2016,Langue maternelle,359,            Langues tibeto-birmanes; n.i.a.,0,0,0
2016,Langue maternelle,360,        Langues tai-kadai,5,5,0
2016,Langue maternelle,361,          Lao,5,5,0
2016,Langue maternelle,362,          Thaï,0,0,0
2016,Langue maternelle,363,          Langues tai-kadai; n.i.a.,0,0,0
2016,Langue maternelle,364,        Langues turques,5,5,5
2016,Langue maternelle,365,          Azerbaïdjanais,0,0,0
2016,Langue maternelle,366,          Turc,5,5,5
2016,Langue maternelle,367,          Ouïghour,0,0,0
2016,Langue maternelle,368,          Ouzbek,0,0,0
2016,Langue maternelle,369,          Langues turques; n.i.a.,0,0,0
2016,Langue maternelle,370,        Langues ouraliennes,5,5,5
2016,Langue maternelle,371,          Estonien,0,0,0
2016,Langue maternelle,372,          Finnois,0,0,0
2016,Langue maternelle,373,          Hongrois,10,5,5
2016,Langue maternelle,374,          Langues ouraliennes; n.i.a.,0,0,0
2016,Langue maternelle,375,        Autres langues; n.i.a.,0,0,0
2016,Langue maternelle,376,  Réponses multiples,425,215,210
2016,Langue maternelle,377,    Anglais et français,280,145,135
2016,Langue maternelle,378,    Anglais et langue non officielle,10,5,10
2016,Langue maternelle,379,    Français et langue non officielle,105,50,55
2016,Langue maternelle,380,    Anglais; français et langue non officielle,30,15,20
2016,Langue parlée le plus souvent à la maison,381,Total - Langue parlée le plus souvent à la maison pour la population totale à l'exclusion des résidents d'un établissement institutionnel - Données intégrales (100 %),28980,14090,14895
2016,Langue parlée le plus souvent à la maison,382,  Réponses uniques,28390,13800,14585
2016,Langue parlée le plus souvent à la maison,383,    Langues officielles,27950,13580,14370
2016,Langue parlée le plus souvent à la maison,384,      Anglais,1245,625,620
2016,Langue parlée le plus souvent à la maison,385,      Français,26705,12955,13755
2016,Langue parlée le plus souvent à la maison,386,    Langues non officielles,440,220,215
2016,Langue parlée le plus souvent à la maison,387,      Langues autochtones,0,0,0
2016,Langue parlée le plus souvent à la maison,388,        Langues algonquiennes,0,0,0
2016,Langue parlée le plus souvent à la maison,389,          Pied-noir,0,0,0
2016,Langue parlée le plus souvent à la maison,390,          Langues cries-montagnaises,0,0,0
2016,Langue parlée le plus souvent à la maison,391,            Atikamekw,0,0,0
2016,Langue parlée le plus souvent à la maison,392,            Montagnais (innu),0,0,0
2016,Langue parlée le plus souvent à la maison,393,            Cri de Moose,0,0,0
2016,Langue parlée le plus souvent à la maison,394,            Naskapi,0,0,0
2016,Langue parlée le plus souvent à la maison,395,            Cri du Nord-Est,0,0,0
2016,Langue parlée le plus souvent à la maison,396,            Cri des plaines,0,0,0
2016,Langue parlée le plus souvent à la maison,397,            Cri du Sud-Est,0,0,0
2016,Langue parlée le plus souvent à la maison,398,            Moskégon (cri des marais),0,0,0
2016,Langue parlée le plus souvent à la maison,399,            Cri des bois,0,0,0
2016,Langue parlée le plus souvent à la maison,400,            Cri; n.d.a.,0,0,0
2016,Langue parlée le plus souvent à la maison,401,          Langues algonquiennes de l'Est,0,0,0
2016,Langue parlée le plus souvent à la maison,402,            Malécite,0,0,0
2016,Langue parlée le plus souvent à la maison,403,            Mi'kmaq,0,0,0
2016,Langue parlée le plus souvent à la maison,404,          Langues ojibwées-potawatomies,0,0,0
2016,Langue parlée le plus souvent à la maison,405,            Algonquin,0,0,0
2016,Langue parlée le plus souvent à la maison,406,            Ojibwé,0,0,0
2016,Langue parlée le plus souvent à la maison,407,            Oji-cri,0,0,0
2016,Langue parlée le plus souvent à la maison,408,            Ottawa (odawa),0,0,0
2016,Langue parlée le plus souvent à la maison,409,          Langues algonquiennes; n.i.a.,0,0,0
2016,Langue parlée le plus souvent à la maison,410,        Langues athabascanes,0,0,0
2016,Langue parlée le plus souvent à la maison,411,          Langues athabascanes du Nord,0,0,0
2016,Langue parlée le plus souvent à la maison,412,            Babine (wetsuwet'en),0,0,0
2016,Langue parlée le plus souvent à la maison,413,            Castor,0,0,0
2016,Langue parlée le plus souvent à la maison,414,            Porteur,0,0,0
2016,Langue parlée le plus souvent à la maison,415,            Chilcotin,0,0,0
2016,Langue parlée le plus souvent à la maison,416,            Déné,0,0,0
2016,Langue parlée le plus souvent à la maison,417,            Flanc-de-chien (tlicho),0,0,0
2016,Langue parlée le plus souvent à la maison,418,            Gwich'in,0,0,0
2016,Langue parlée le plus souvent à la maison,419,            Sarsi,0,0,0
2016,Langue parlée le plus souvent à la maison,420,            Sekani,0,0,0
2016,Langue parlée le plus souvent à la maison,421,            Langues esclaves-lièvre,0,0,0
2016,Langue parlée le plus souvent à la maison,422,              Esclave du Nord (lièvre),0,0,0
2016,Langue parlée le plus souvent à la maison,423,              Esclave du Sud,0,0,0
2016,Langue parlée le plus souvent à la maison,424,              Esclave; n.d.a.,0,0,0
2016,Langue parlée le plus souvent à la maison,425,            Langues tahltanes,0,0,0
2016,Langue parlée le plus souvent à la maison,426,              Kaska (nahani),0,0,0
2016,Langue parlée le plus souvent à la maison,427,              Tahltan,0,0,0
2016,Langue parlée le plus souvent à la maison,428,            Langues tutchones,0,0,0
2016,Langue parlée le plus souvent à la maison,429,              Tutchone du Nord,0,0,0
2016,Langue parlée le plus souvent à la maison,430,              Tutchone du Sud,0,0,0
